slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
harrito02,Tobias Harris,DETROIT PISTONS,HOME,INDIANA PACERS,WIN,1756,10,11,7,8,3,4,0,6,1,1,0,1,1,28.0
antetgi01,Giannis Antetokounmpo,MILWAUKEE BUCKS,HOME,CHICAGO BULLS,LOSS,2204,11,17,1,4,5,6,1,6,4,1,1,4,3,21.9
richajo01,Josh Richardson,MIAMI HEAT,HOME,ORLANDO MAGIC,WIN,2173,8,14,0,4,4,4,5,2,5,1,1,1,2,20.9
drumman01,Andre Drummond,DETROIT PISTONS,HOME,INDIANA PACERS,WIN,1968,9,13,0,0,3,4,2,16,3,1,0,3,2,20.6
klebima01,Maxi Kleber,DALLAS MAVERICKS,HOME,TORONTO RAPTORS,WIN,1500,6,9,2,4,1,1,2,6,2,2,5,0,3,20.0
bookede01,Devin Booker,PHOENIX SUNS,HOME,MEMPHIS GRIZZLIES,WIN,2038,9,21,3,9,11,12,0,5,6,1,0,5,6,19.8
harremo01,Montrezl Harrell,LOS ANGELES CLIPPERS,HOME,SACRAMENTO KINGS,WIN,1304,7,12,0,0,8,9,2,6,3,0,1,2,1,19.6
dunnkr01,Kris Dunn,CHICAGO BULLS,AWAY,MILWAUKEE BUCKS,WIN,2020,9,17,0,3,2,4,0,2,12,4,2,4,5,19.3
lowryky01,Kyle Lowry,TORONTO RAPTORS,AWAY,DALLAS MAVERICKS,LOSS,2061,6,17,4,8,7,8,0,8,6,1,0,1,3,18.5
evansty01,Tyreke Evans,MEMPHIS GRIZZLIES,AWAY,PHOENIX SUNS,LOSS,2191,10,22,2,5,3,4,1,4,5,1,1,1,3,18.1
caulewi01,Willie Cauley-Stein,SACRAMENTO KINGS,AWAY,LOS ANGELES CLIPPERS,LOSS,1518,8,10,0,0,1,2,1,6,3,3,1,2,3,17.9
mirotni01,Nikola Mirotić,CHICAGO BULLS,AWAY,MILWAUKEE BUCKS,WIN,1687,9,18,4,8,2,4,2,6,1,0,0,0,1,17.7
bledser01,Eric Bledsoe,MILWAUKEE BUCKS,HOME,CHICAGO BULLS,LOSS,1762,8,14,3,6,3,3,0,5,6,1,0,3,4,17.5
aldrila01,LaMarcus Aldridge,SAN ANTONIO SPURS,HOME,BROOKLYN NETS,WIN,2065,7,15,0,1,6,7,2,7,2,2,1,1,3,17.3
gasolpa01,Pau Gasol,SAN ANTONIO SPURS,HOME,BROOKLYN NETS,WIN,1719,6,10,2,3,1,2,1,11,5,0,1,1,0,17.2
murraja01,Jamal Murray,DENVER NUGGETS,HOME,UTAH JAZZ,WIN,2118,9,15,3,6,1,1,2,6,2,1,0,4,0,16.7
willilo02,Lou Williams,LOS ANGELES CLIPPERS,HOME,SACRAMENTO KINGS,WIN,1600,7,11,4,6,3,4,0,3,2,0,0,1,1,16.6
ellinwa01,Wayne Ellington,MIAMI HEAT,HOME,ORLANDO MAGIC,WIN,2032,6,11,6,10,0,1,0,6,1,2,0,0,1,16.4
leverca01,Caris LeVert,BROOKLYN NETS,AWAY,SAN ANTONIO SPURS,LOSS,1674,8,11,2,3,0,1,0,0,5,2,0,2,1,16.2
nowitdi01,Dirk Nowitzki,DALLAS MAVERICKS,HOME,TORONTO RAPTORS,WIN,1612,8,13,1,2,1,1,2,5,1,1,3,2,3,15.6
brogdma01,Malcolm Brogdon,MILWAUKEE BUCKS,HOME,CHICAGO BULLS,LOSS,1796,7,11,0,3,4,4,1,5,2,0,2,1,4,15.5
favorde01,Derrick Favors,UTAH JAZZ,AWAY,DENVER NUGGETS,LOSS,1715,6,14,0,0,8,11,5,1,2,0,0,0,3,15.4
wilsoja02,Jamil Wilson,LOS ANGELES CLIPPERS,HOME,SACRAMENTO KINGS,WIN,1134,6,9,5,7,0,0,0,1,0,2,2,1,1,15.4
paytoel01,Elfrid Payton,ORLANDO MAGIC,AWAY,MIAMI HEAT,LOSS,2018,9,18,0,0,1,3,3,5,6,1,0,2,3,14.8
valanjo01,Jonas Valančiūnas,TORONTO RAPTORS,AWAY,DALLAS MAVERICKS,LOSS,1496,5,11,0,0,7,9,4,7,1,1,0,1,5,14.1
leonaka01,Kawhi Leonard,SAN ANTONIO SPURS,HOME,BROOKLYN NETS,WIN,1566,8,17,2,5,3,4,0,2,2,0,0,0,0,13.9
lylestr01,Trey Lyles,DENVER NUGGETS,HOME,UTAH JAZZ,WIN,1651,7,11,1,4,1,3,0,8,0,1,0,0,1,13.3
jordade01,DeAndre Jordan,LOS ANGELES CLIPPERS,HOME,SACRAMENTO KINGS,WIN,1576,5,6,0,0,3,6,2,13,1,0,1,2,3,13.1
adebaba01,Bam Adebayo,MIAMI HEAT,HOME,ORLANDO MAGIC,WIN,1528,3,4,0,0,2,2,3,6,4,1,1,1,2,13.0
olynyke01,Kelly Olynyk,MIAMI HEAT,HOME,ORLANDO MAGIC,WIN,1898,7,14,1,2,0,0,3,9,2,3,2,4,4,13.0
lenal01,Alex Len,PHOENIX SUNS,HOME,MEMPHIS GRIZZLIES,WIN,1795,4,6,0,0,4,6,2,4,4,0,2,2,3,12.2
jokicni01,Nikola Jokić,DENVER NUGGETS,HOME,UTAH JAZZ,WIN,1533,4,10,1,3,4,4,2,5,5,1,0,1,5,12.0
thornsi01,Sindarius Thornwell,LOS ANGELES CLIPPERS,HOME,SACRAMENTO KINGS,WIN,1325,3,6,0,2,2,2,1,4,4,4,0,2,0,11.7
jacksre01,Reggie Jackson,DETROIT PISTONS,HOME,INDIANA PACERS,WIN,1275,4,10,0,3,0,0,0,3,13,0,0,1,0,11.6
bareajo01,J.J. Barea,DALLAS MAVERICKS,HOME,TORONTO RAPTORS,WIN,1358,9,18,2,6,0,1,0,3,4,0,0,2,2,11.5
dinwisp01,Spencer Dinwiddie,BROOKLYN NETS,AWAY,SAN ANTONIO SPURS,LOSS,1589,5,9,2,2,0,0,0,0,7,0,0,0,3,11.4
ennisja01,James Ennis,MEMPHIS GRIZZLIES,AWAY,PHOENIX SUNS,LOSS,1269,2,3,0,1,7,7,2,3,2,1,0,3,1,11.0
harriga01,Gary Harris,DENVER NUGGETS,HOME,UTAH JAZZ,WIN,2161,6,12,3,6,0,0,0,2,5,0,0,1,3,10.9
valende01,Denzel Valentine,CHICAGO BULLS,AWAY,MILWAUKEE BUCKS,WIN,1658,5,10,1,4,2,2,1,3,2,1,0,0,3,10.8
johnsty01,Tyler Johnson,MIAMI HEAT,HOME,ORLANDO MAGIC,WIN,2210,5,16,1,8,6,6,2,2,2,1,1,1,3,10.7
oladivi01,Victor Oladipo,INDIANA PACERS,AWAY,DETROIT PISTONS,LOSS,1551,5,11,2,6,1,2,0,1,3,2,2,2,0,10.7
barneha02,Harrison Barnes,DALLAS MAVERICKS,HOME,TORONTO RAPTORS,WIN,2137,6,13,1,2,3,4,4,6,2,0,0,4,1,10.5
plumlma01,Mason Plumlee,DENVER NUGGETS,HOME,UTAH JAZZ,WIN,1223,4,6,0,0,1,3,3,5,3,0,0,0,2,10.5
ginobma01,Manu Ginóbili,SAN ANTONIO SPURS,HOME,BROOKLYN NETS,WIN,1260,4,7,0,1,3,3,1,1,3,1,2,2,2,10.4
mitchdo01,Donovan Mitchell,UTAH JAZZ,AWAY,DENVER NUGGETS,LOSS,1954,5,10,1,4,2,2,0,3,6,1,0,2,5,10.1
teodomi01,Miloš Teodosić,LOS ANGELES CLIPPERS,HOME,SACRAMENTO KINGS,WIN,1240,3,9,2,5,0,0,1,3,10,0,0,1,1,10.1
grantje02,Jerian Grant,CHICAGO BULLS,AWAY,MILWAUKEE BUCKS,WIN,860,3,5,2,3,1,2,0,1,2,2,0,0,0,10.0
dekkesa01,Sam Dekker,LOS ANGELES CLIPPERS,HOME,SACRAMENTO KINGS,WIN,1425,3,4,0,1,4,4,1,5,0,0,1,1,1,9.9
holliro01,Rondae Hollis-Jefferson,BROOKLYN NETS,AWAY,SAN ANTONIO SPURS,LOSS,1620,5,13,1,1,2,2,1,5,3,1,0,1,1,9.8
templga01,Garrett Temple,SACRAMENTO KINGS,AWAY,LOS ANGELES CLIPPERS,LOSS,1306,3,6,0,1,3,3,1,2,2,0,2,0,1,9.7
chandwi01,Wilson Chandler,DENVER NUGGETS,HOME,UTAH JAZZ,WIN,2010,5,11,0,3,5,5,1,6,1,0,1,2,4,9.6
gasolma01,Marc Gasol,MEMPHIS GRIZZLIES,AWAY,PHOENIX SUNS,LOSS,2268,4,16,0,4,10,11,1,5,0,1,4,4,1,9.6
nwabada01,David Nwaba,CHICAGO BULLS,AWAY,MILWAUKEE BUCKS,WIN,1476,3,6,0,0,1,2,4,5,1,2,0,0,3,9.4
speigma01,Marreese Speights,ORLANDO MAGIC,AWAY,MIAMI HEAT,LOSS,992,4,8,2,5,2,2,1,5,0,1,0,1,2,9.4
poeltja01,Jakob Poeltl,TORONTO RAPTORS,AWAY,DALLAS MAVERICKS,LOSS,1065,3,4,0,0,3,5,3,1,0,1,1,1,1,9.3
martija01,Jarell Martin,MEMPHIS GRIZZLIES,AWAY,PHOENIX SUNS,LOSS,1598,5,9,0,0,0,0,4,2,0,1,1,0,4,9.2
allenja01,Jarrett Allen,BROOKLYN NETS,AWAY,SAN ANTONIO SPURS,LOSS,1277,6,11,0,1,0,0,5,4,1,0,0,2,3,8.9
inglejo01,Joe Ingles,UTAH JAZZ,AWAY,DENVER NUGGETS,LOSS,1790,3,7,2,6,0,0,1,6,1,2,0,1,0,8.5
jacksju01,Justin Jackson,SACRAMENTO KINGS,AWAY,LOS ANGELES CLIPPERS,LOSS,1337,4,7,1,4,0,0,0,4,2,0,2,0,3,8.5
portibo01,Bobby Portis,CHICAGO BULLS,AWAY,MILWAUKEE BUCKS,WIN,1461,4,9,0,1,1,2,4,4,1,1,0,0,3,8.4
wrighbr03,Brandan Wright,MEMPHIS GRIZZLIES,AWAY,PHOENIX SUNS,LOSS,1134,3,5,0,0,1,1,0,5,1,1,2,0,3,8.1
warretj01,T.J. Warren,PHOENIX SUNS,HOME,MEMPHIS GRIZZLIES,WIN,1798,7,14,0,1,3,5,0,0,0,0,0,0,3,8.0
hillge01,George Hill,SACRAMENTO KINGS,AWAY,LOS ANGELES CLIPPERS,LOSS,1630,3,11,0,2,1,2,0,2,5,3,1,0,0,7.9
parketo01,Tony Parker,SAN ANTONIO SPURS,HOME,BROOKLYN NETS,WIN,1470,6,10,1,1,1,2,0,4,1,0,0,3,0,7.9
sabondo01,Domantas Sabonis,INDIANA PACERS,AWAY,DETROIT PISTONS,LOSS,1048,5,9,0,0,0,0,3,2,3,0,0,1,4,7.9
ulisty01,Tyler Ulis,PHOENIX SUNS,HOME,MEMPHIS GRIZZLIES,WIN,1641,3,8,2,2,0,0,1,2,6,1,0,1,3,7.9
richama01,Malachi Richardson,SACRAMENTO KINGS,AWAY,LOS ANGELES CLIPPERS,LOSS,1840,3,7,2,4,2,2,0,5,2,0,0,1,2,7.4
hensojo01,John Henson,MILWAUKEE BUCKS,HOME,CHICAGO BULLS,LOSS,1236,3,6,0,0,1,1,2,4,2,0,3,2,2,7.3
simmoko01,Kobi Simmons,MEMPHIS GRIZZLIES,AWAY,PHOENIX SUNS,LOSS,1584,2,5,0,2,2,2,1,4,2,2,1,1,3,7.1
hezonma01,Mario Hezonja,ORLANDO MAGIC,AWAY,MIAMI HEAT,LOSS,1945,6,12,0,4,2,2,1,4,1,1,0,3,4,7.0
smithis01,Ish Smith,DETROIT PISTONS,HOME,INDIANA PACERS,WIN,1475,6,11,0,0,0,0,2,0,3,0,0,2,3,7.0
augusdj01,D.J. Augustin,ORLANDO MAGIC,AWAY,MIAMI HEAT,LOSS,951,2,7,1,4,4,4,0,1,3,1,0,1,1,6.9
holidju01,Justin Holiday,CHICAGO BULLS,AWAY,MILWAUKEE BUCKS,WIN,1953,5,15,1,4,4,5,0,3,1,1,0,1,2,6.9
