slug,name,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
paulch01,Chris Paul,HOUSTON ROCKETS,HOME,SAN ANTONIO SPURS,WIN,1930,10,18,5,9,3,3,0,4,8,7,1,3,3,29.7
antetgi01,Giannis Antetokounmpo,MILWAUKEE BUCKS,HOME,CHICAGO BULLS,LOSS,2383,11,18,1,3,6,9,5,11,4,0,1,1,1,28.5
middlkh01,Khris Middleton,MILWAUKEE BUCKS,HOME,CHICAGO BULLS,LOSS,2522,9,19,2,9,9,9,0,6,6,4,0,2,2,26.5
derozde01,DeMar DeRozan,TORONTO RAPTORS,HOME,BROOKLYN NETS,WIN,1743,14,19,1,2,2,4,1,2,1,2,0,1,1,25.1
davisan02,Anthony Davis,NEW ORLEANS PELICANS,AWAY,DENVER NUGGETS,LOSS,2629,12,22,0,1,4,4,2,10,1,1,5,3,0,24.0
embiijo01,Joel Embiid,PHILADELPHIA 76ERS,HOME,OKLAHOMA CITY THUNDER,LOSS,2919,11,20,0,3,12,13,0,8,6,0,2,7,3,23.8
drumman01,Andre Drummond,DETROIT PISTONS,AWAY,INDIANA PACERS,WIN,1927,9,14,0,0,5,8,6,7,1,1,3,1,3,23.5
horfoal01,Al Horford,BOSTON CELTICS,HOME,UTAH JAZZ,LOSS,2064,9,14,3,5,0,0,1,5,7,2,0,0,1,23.5
portibo01,Bobby Portis,CHICAGO BULLS,AWAY,MILWAUKEE BUCKS,WIN,1765,9,16,2,5,7,7,2,10,0,1,0,1,1,23.4
irvinky01,Kyrie Irving,BOSTON CELTICS,HOME,UTAH JAZZ,LOSS,2216,11,25,2,8,9,9,0,4,6,0,0,2,3,22.1
turnemy01,Myles Turner,INDIANA PACERS,HOME,DETROIT PISTONS,LOSS,2055,8,14,1,4,7,8,3,5,2,0,2,1,3,21.2
holidjr01,Jrue Holiday,NEW ORLEANS PELICANS,AWAY,DENVER NUGGETS,LOSS,2586,10,21,5,9,0,0,1,7,6,3,0,3,1,20.9
lowryky01,Kyle Lowry,TORONTO RAPTORS,HOME,BROOKLYN NETS,WIN,1859,4,9,2,5,0,0,3,7,12,4,0,1,1,20.5
vucevni01,Nikola Vučević,ORLANDO MAGIC,HOME,PORTLAND TRAIL BLAZERS,LOSS,2072,12,20,2,5,0,0,3,11,1,1,1,3,3,20.4
